MIN;AVG;MAX
3;127;191
70;134;183
63;126;179
3;120;159
32;124;180
32;133;183
36;116;187
22;67;87
31;65;82
33;58;78
16;66;93
40;67;83
45;68;90
46;69;87
44;68;88
48;69;84
33;67;97
37;64;83
34;69;89
31;71;88
49;72;93
49;72;87
53;73;89
48;70;89
46;72;88
46;75;92
52;71;94
35;68;89
39;70;90
55;74;89
42;73;92
48;73;90
52;75;88
29;65;80
45;70;89
26;65;84
49;70;89
47;71;89
45;69;89
25;65;84
8;63;82
25;57;83
27;66;93
28;63;84
29;59;84
18;51;83
12;26;68
13;34;68
16;56;82
26;64;89
22;61;84
29;64;82
27;67;85
29;63;83
23;65;85
32;66;79
43;67;83
48;70;87
51;73;97
51;72;87
50;72;86
47;71;90
51;72;94
46;71;85
31;68;94
35;69;88
48;71;88
49;72;87
42;70;88
51;69;85
51;70;82
52;70;85
35;68;85
39;69;85
46;72;91
46;71;86
53;74;94
40;70;92
26;70;91
38;68;83
42;70;96
49;71;87
45;68;85
47;71;87
44;70;88
42;72;91
51;71;90
44;70;88
44;70;84
45;73;88
52;73;90
44;71;83
50;71;93
48;73;94
41;69;88
41;75;92
35;70;87
3;66;83
39;68;89
49;67;82
47;68;84
39;70;91
29;57;81
33;70;86
42;67;88
